,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryAddition,YearlyHollidayDays,DrivingKilometers
355,No,26.0,Travel_Rarely,933.0,Sales,1.0,3,Life Sciences,3.0,Male,57.0,3.0,2.0,Sales Executive,3.0,Married,5296.0,20156.0,1.0,Y,No,17.0,3.0,2.0,80.0,1,8.0,3.0,3.0,8.0,7.0,7.0,7.0,1016.6225747580813,15.0,0.736316717431474
356,No,42.0,Travel_Rarely,1332.0,Research & Development,2.0,4,Other,1.0,Male,98.0,2.0,2.0,Healthcare Representative,4.0,Single,6781.0,17078.0,3.0,Y,No,23.0,4.0,2.0,80.0,0,14.0,6.0,3.0,1.0,0.0,0.0,0.0,1066.5848478455282,10.0,2.432522776968753
357,Yes,21.0,Travel_Frequently,756.0,Sales,1.0,1,Technical Degree,1.0,Female,99.0,2.0,1.0,Sales Representative,2.0,Single,2174.0,9150.0,1.0,Y,Yes,11.0,3.0,3.0,80.0,0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1033.2268154321505,,
358,No,36.0,Non-Travel,845.0,Sales,1.0,5,Medical,4.0,Female,45.0,3.0,2.0,Sales Executive,4.0,Single,6653.0,15276.0,4.0,Y,No,15.0,3.0,2.0,80.0,0,7.0,6.0,3.0,1.0,0.0,0.0,0.0,1286.1565482745596,,
359,No,36.0,Travel_Frequently,541.0,Sales,3.0,4,Medical,1.0,Male,48.0,2.0,3.0,Sales Executive,4.0,Married,9699.0,7246.0,4.0,Y,No,11.0,3.0,1.0,80.0,1,16.0,2.0,3.0,13.0,9.0,1.0,12.0,1308.3520055938952,10.0,
360,No,57.0,Travel_Rarely,593.0,Research & Development,1.0,4,Medical,4.0,Male,88.0,3.0,2.0,Healthcare Representative,3.0,Married,6755.0,2967.0,2.0,Y,No,11.0,3.0,3.0,80.0,0,15.0,2.0,3.0,3.0,2.0,1.0,2.0,,10.0,
361,No,40.0,Travel_Rarely,1171.0,Research & Development,10.0,4,Life Sciences,4.0,Female,46.0,4.0,1.0,Laboratory Technician,3.0,Married,2213.0,22495.0,3.0,Y,Yes,13.0,3.0,3.0,80.0,1,10.0,3.0,3.0,7.0,7.0,1.0,7.0,1030.5710967789846,15.0,
362,No,21.0,Non-Travel,895.0,Sales,9.0,2,Medical,1.0,Male,39.0,3.0,1.0,Sales Representative,4.0,Single,2610.0,2851.0,1.0,Y,No,24.0,4.0,3.0,80.0,0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,902.9789165367754,22.0,1.0602857848153708
363,Yes,33.0,Travel_Rarely,350.0,Sales,5.0,3,Marketing,4.0,Female,34.0,3.0,1.0,Sales Representative,3.0,Single,2851.0,9150.0,1.0,Y,Yes,13.0,3.0,2.0,80.0,0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1319.8201538984706,25.0,
364,No,37.0,Travel_Rarely,921.0,Research & Development,10.0,3,Medical,3.0,Female,98.0,3.0,1.0,Laboratory Technician,1.0,Married,3452.0,17663.0,6.0,Y,No,20.0,4.0,2.0,80.0,1,17.0,3.0,3.0,5.0,4.0,0.0,3.0,839.0049583962543,,1.458715079504398
365,No,46.0,Non-Travel,1144.0,Research & Development,7.0,4,Medical,3.0,Female,30.0,3.0,2.0,Manufacturing Director,3.0,Married,5258.0,16044.0,2.0,Y,No,14.0,3.0,3.0,80.0,0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,1008.1029133417695,15.0,0.8350815140436612
366,Yes,41.0,Travel_Frequently,143.0,Sales,4.0,3,Marketing,1.0,Male,56.0,3.0,2.0,Sales Executive,2.0,Single,9355.0,9558.0,1.0,Y,No,18.0,3.0,3.0,80.0,0,8.0,5.0,3.0,8.0,7.0,7.0,7.0,1500.2806938933031,,
367,No,50.0,Travel_Rarely,1046.0,Research & Development,10.0,3,Technical Degree,4.0,Male,100.0,2.0,3.0,Healthcare Representative,4.0,Single,10496.0,2755.0,6.0,Y,No,15.0,3.0,4.0,80.0,0,20.0,,3.0,4.0,3.0,1.0,3.0,,10.0,
368,Yes,40.0,Travel_Rarely,575.0,Sales,22.0,2,Marketing,3.0,Male,68.0,2.0,2.0,Sales Executive,3.0,Married,6380.0,6110.0,2.0,Y,Yes,12.0,3.0,1.0,80.0,2,8.0,6.0,3.0,6.0,4.0,1.0,0.0,1055.945381540287,15.0,
369,No,31.0,Travel_Rarely,408.0,Research & Development,9.0,4,Life Sciences,3.0,Male,42.0,2.0,1.0,Research Scientist,2.0,Single,2657.0,7551.0,0.0,Y,Yes,16.0,3.0,4.0,80.0,0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,1361.3957501484135,10.0,1.039339120264608
370,Yes,21.0,Travel_Rarely,156.0,Sales,12.0,3,Life Sciences,3.0,Female,90.0,4.0,1.0,Sales Representative,2.0,Single,2716.0,25422.0,1.0,Y,No,15.0,3.0,4.0,80.0,0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1265.5975041475033,10.0,
371,No,29.0,Travel_Rarely,1283.0,Research & Development,23.0,3,Life Sciences,4.0,Male,54.0,3.0,1.0,Research Scientist,4.0,Single,2201.0,18168.0,,Y,No,16.0,3.0,4.0,80.0,0,6.0,4.0,3.0,3.0,2.0,1.0,2.0,1026.6587476070476,30.0,
372,No,35.0,Travel_Rarely,755.0,Research & Development,9.0,4,Life Sciences,3.0,Male,97.0,2.0,2.0,Healthcare Representative,2.0,Single,6540.0,19394.0,9.0,Y,No,19.0,3.0,3.0,80.0,0,10.0,,3.0,1.0,1.0,0.0,0.0,1717.499896262988,15.0,
373,No,27.0,Travel_Rarely,1469.0,Research & Development,1.0,2,Medical,4.0,Male,82.0,3.0,1.0,Laboratory Technician,2.0,Divorced,3816.0,17881.0,1.0,Y,No,11.0,3.0,2.0,80.0,1,5.0,2.0,3.0,5.0,2.0,0.0,4.0,580.1355689607939,,0.7570886795916487
374,No,28.0,Travel_Rarely,304.0,Sales,9.0,4,Life Sciences,2.0,Male,92.0,3.0,2.0,Sales Executive,4.0,Single,5253.0,20750.0,1.0,Y,No,16.0,3.0,4.0,80.0,0,7.0,1.0,3.0,7.0,5.0,0.0,7.0,938.9890135235021,30.0,
375,No,49.0,Travel_Rarely,1261.0,Research & Development,7.0,3,Other,2.0,Male,31.0,2.0,3.0,Healthcare Representative,3.0,Single,10965.0,12066.0,8.0,Y,No,24.0,4.0,3.0,80.0,0,26.0,2.0,3.0,5.0,2.0,0.0,0.0,1136.329855542342,15.0,
376,No,51.0,Travel_Rarely,1178.0,Sales,14.0,2,Life Sciences,3.0,Female,87.0,3.0,2.0,Sales Executive,4.0,Married,4936.0,14862.0,4.0,Y,No,11.0,3.0,3.0,80.0,1,18.0,,2.0,7.0,7.0,0.0,7.0,,10.0,
377,No,36.0,Travel_Rarely,329.0,Research & Development,2.0,3,Life Sciences,4.0,Female,96.0,3.0,1.0,Research Scientist,3.0,Married,2543.0,11868.0,4.0,Y,No,13.0,3.0,2.0,80.0,1,6.0,3.0,3.0,2.0,2.0,,2.0,882.9098452679791,25.0,
378,Yes,34.0,Non-Travel,1362.0,Sales,19.0,3,Marketing,1.0,Male,67.0,4.0,2.0,Sales Executive,4.0,Single,5304.0,4652.0,8.0,Y,Yes,13.0,3.0,2.0,80.0,0,9.0,3.0,2.0,5.0,2.0,0.0,4.0,1197.4652056263772,,
379,No,55.0,Travel_Rarely,1311.0,Research & Development,2.0,3,Life Sciences,3.0,Female,97.0,3.0,4.0,Manager,4.0,Single,16659.0,23258.0,2.0,Y,Yes,13.0,3.0,3.0,80.0,0,30.0,2.0,3.0,5.0,4.0,1.0,2.0,,10.0,1.7889938411936273
380,No,24.0,Travel_Rarely,1371.0,Sales,10.0,4,Marketing,4.0,Female,77.0,3.0,2.0,Sales Executive,3.0,Divorced,4260.0,5915.0,1.0,Y,Yes,12.0,3.0,4.0,80.0,1,5.0,2.0,4.0,5.0,2.0,0.0,3.0,891.6988954182569,18.0,
381,No,30.0,Travel_Rarely,202.0,Sales,2.0,1,Technical Degree,3.0,Male,72.0,3.0,1.0,Sales Representative,2.0,Married,2476.0,17434.0,1.0,Y,No,18.0,3.0,1.0,80.0,1,1.0,3.0,3.0,1.0,0.0,0.0,0.0,539.661657080985,10.0,
382,Yes,26.0,Travel_Frequently,575.0,Research & Development,3.0,1,Technical Degree,3.0,Male,73.0,3.0,1.0,Research Scientist,1.0,Single,3102.0,6582.0,0.0,Y,No,22.0,4.0,3.0,80.0,0,7.0,2.0,3.0,6.0,4.0,0.0,4.0,1670.5107727589775,,
383,No,22.0,Travel_Rarely,253.0,Research & Development,11.0,3,Medical,1.0,Female,43.0,3.0,1.0,Research Scientist,2.0,Married,2244.0,24440.0,1.0,Y,No,13.0,3.0,4.0,80.0,1,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1329.4627066713197,25.0,
384,No,36.0,Travel_Rarely,164.0,Sales,2.0,2,Medical,2.0,Male,61.0,2.0,3.0,Sales Executive,3.0,Married,7596.0,3809.0,1.0,Y,No,13.0,3.0,2.0,80.0,2,10.0,2.0,3.0,10.0,9.0,9.0,0.0,920.8756589475724,,
385,Yes,30.0,Travel_Frequently,464.0,Research & Development,4.0,3,Technical Degree,3.0,Male,40.0,3.0,1.0,Research Scientist,4.0,Single,2285.0,3427.0,9.0,Y,Yes,23.0,4.0,3.0,80.0,0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,1042.3462279122646,10.0,
386,No,37.0,Travel_Rarely,1107.0,Research & Development,14.0,3,Life Sciences,4.0,Female,95.0,3.0,1.0,Laboratory Technician,1.0,Divorced,3034.0,26914.0,1.0,Y,No,12.0,3.0,3.0,80.0,1,18.0,,2.0,18.0,7.0,12.0,17.0,901.3186257105366,,
387,No,40.0,Travel_Rarely,759.0,Sales,2.0,2,Marketing,4.0,Female,46.0,3.0,2.0,Sales Executive,2.0,Divorced,5715.0,22553.0,7.0,Y,No,12.0,3.0,3.0,80.0,2,8.0,5.0,3.0,5.0,4.0,1.0,3.0,1664.4784071906847,15.0,2.690302509548784
388,No,42.0,Travel_Rarely,201.0,Research & Development,1.0,4,Life Sciences,2.0,Female,95.0,3.0,1.0,Laboratory Technician,1.0,Divorced,2576.0,20490.0,3.0,Y,No,16.0,3.0,2.0,80.0,1,8.0,,3.0,5.0,2.0,1.0,2.0,929.0021894067748,,
389,No,37.0,Travel_Rarely,1305.0,Research & Development,10.0,4,Life Sciences,3.0,Male,49.0,3.0,2.0,Manufacturing Director,2.0,Single,4197.0,21123.0,2.0,Y,Yes,12.0,3.0,4.0,80.0,0,18.0,,2.0,1.0,0.0,0.0,1.0,933.8704176199647,15.0,
390,No,43.0,Travel_Rarely,982.0,Research & Development,12.0,3,Life Sciences,1.0,Male,59.0,2.0,4.0,Research Director,2.0,Divorced,14336.0,4345.0,1.0,Y,No,11.0,3.0,3.0,80.0,1,25.0,3.0,3.0,25.0,10.0,3.0,9.0,404.3723753177626,18.0,
391,No,40.0,Travel_Rarely,555.0,Research & Development,2.0,3,Medical,2.0,Female,78.0,2.0,2.0,Laboratory Technician,3.0,Married,3448.0,13436.0,6.0,Y,No,22.0,4.0,2.0,80.0,1,20.0,3.0,3.0,1.0,0.0,0.0,0.0,992.3983004875689,10.0,
392,No,54.0,Travel_Rarely,821.0,Research & Development,5.0,2,Medical,1.0,Male,86.0,3.0,5.0,Research Director,1.0,Married,19406.0,8509.0,4.0,Y,No,11.0,3.0,3.0,80.0,1,24.0,4.0,2.0,4.0,2.0,1.0,2.0,,15.0,
393,No,34.0,Non-Travel,1381.0,Sales,4.0,4,Marketing,3.0,Female,72.0,3.0,2.0,Sales Executive,3.0,Married,6538.0,12740.0,9.0,Y,No,15.0,3.0,1.0,80.0,1,6.0,3.0,3.0,3.0,2.0,1.0,2.0,1253.5109580731125,,
394,No,31.0,Travel_Rarely,480.0,Research & Development,7.0,2,Medical,2.0,Female,31.0,3.0,2.0,Manufacturing Director,1.0,Married,4306.0,4156.0,1.0,Y,No,12.0,3.0,2.0,80.0,1,13.0,5.0,1.0,13.0,10.0,3.0,12.0,962.863139955894,,
395,No,43.0,Travel_Frequently,313.0,Research & Development,21.0,3,Medical,4.0,Male,61.0,3.0,1.0,Laboratory Technician,4.0,Married,2258.0,15238.0,7.0,Y,No,20.0,4.0,1.0,80.0,1,8.0,,3.0,3.0,2.0,1.0,2.0,1489.5001275826871,,
396,No,43.0,Travel_Rarely,1473.0,Research & Development,8.0,4,Other,3.0,Female,74.0,3.0,2.0,Healthcare Representative,3.0,Divorced,4522.0,2227.0,4.0,Y,Yes,14.0,3.0,4.0,80.0,0,8.0,3.0,3.0,5.0,2.0,0.0,2.0,489.5699062897754,,
397,No,25.0,Travel_Rarely,891.0,Sales,4.0,2,Life Sciences,2.0,Female,99.0,2.0,2.0,Sales Executive,4.0,Single,4487.0,12090.0,1.0,Y,Yes,11.0,3.0,2.0,80.0,0,5.0,3.0,3.0,5.0,4.0,1.0,3.0,1319.1055057524827,10.0,
398,No,37.0,Non-Travel,1063.0,Research & Development,25.0,5,Medical,2.0,Female,72.0,3.0,2.0,Research Scientist,3.0,Married,4449.0,23866.0,3.0,Y,Yes,15.0,3.0,1.0,80.0,2,15.0,2.0,3.0,13.0,11.0,10.0,7.0,1061.3450092806268,10.0,
399,No,31.0,Travel_Rarely,329.0,Research & Development,1.0,2,Life Sciences,4.0,Male,98.0,2.0,1.0,Laboratory Technician,1.0,Married,2218.0,16193.0,1.0,Y,No,12.0,3.0,3.0,80.0,1,4.0,3.0,3.0,4.0,2.0,3.0,2.0,892.8405450941679,,
400,No,39.0,Travel_Frequently,1218.0,Research & Development,1.0,1,Life Sciences,2.0,Male,52.0,3.0,5.0,Manager,3.0,Divorced,19197.0,8213.0,1.0,Y,Yes,14.0,3.0,3.0,80.0,1,21.0,3.0,3.0,21.0,8.0,1.0,6.0,1612.0403091060396,,
401,No,56.0,Travel_Frequently,906.0,Sales,6.0,3,Life Sciences,3.0,Female,86.0,4.0,4.0,Sales Executive,1.0,Married,13212.0,18256.0,9.0,Y,No,11.0,3.0,4.0,80.0,3,36.0,0.0,2.0,7.0,7.0,7.0,7.0,,22.0,
402,No,30.0,Travel_Rarely,1082.0,Sales,12.0,3,Technical Degree,2.0,Female,83.0,3.0,2.0,Sales Executive,3.0,Single,6577.0,19558.0,0.0,Y,No,11.0,3.0,2.0,80.0,0,6.0,6.0,3.0,5.0,4.0,4.0,4.0,1139.0253485181718,10.0,0.705697059690813
403,No,41.0,Travel_Rarely,645.0,Sales,1.0,3,Marketing,2.0,Male,49.0,4.0,3.0,Sales Executive,1.0,Married,8392.0,19566.0,,Y,No,16.0,3.0,3.0,80.0,1,10.0,2.0,3.0,10.0,7.0,0.0,7.0,1062.9339776391819,10.0,
404,No,28.0,Travel_Rarely,1300.0,Research & Development,17.0,2,Medical,3.0,Male,79.0,3.0,2.0,Laboratory Technician,1.0,Divorced,4558.0,13535.0,1.0,Y,No,12.0,3.0,4.0,80.0,1,10.0,,3.0,10.0,0.0,1.0,8.0,956.6310504174194,15.0,
405,Yes,25.0,Travel_Rarely,688.0,Research & Development,3.0,3,Medical,1.0,Male,91.0,3.0,1.0,Laboratory Technician,1.0,Married,4031.0,9396.0,5.0,Y,No,13.0,3.0,3.0,80.0,1,6.0,,3.0,2.0,2.0,0.0,2.0,220.81014111781326,15.0,0.9813555362762718
406,No,52.0,Travel_Rarely,319.0,Research & Development,3.0,3,Medical,4.0,Male,39.0,2.0,3.0,Manufacturing Director,3.0,Married,7969.0,19609.0,,Y,Yes,14.0,3.0,3.0,80.0,0,28.0,4.0,3.0,5.0,4.0,0.0,4.0,,,
407,No,45.0,Travel_Rarely,192.0,Research & Development,10.0,2,Life Sciences,1.0,Male,69.0,3.0,1.0,Research Scientist,4.0,Married,2654.0,9655.0,3.0,Y,No,21.0,4.0,4.0,80.0,2,8.0,3.0,2.0,2.0,2.0,0.0,2.0,1545.3158379078038,10.0,
408,No,52.0,Travel_Rarely,1490.0,Research & Development,4.0,2,Life Sciences,4.0,Female,30.0,3.0,4.0,Manager,4.0,Married,16555.0,10310.0,2.0,Y,No,13.0,3.0,4.0,80.0,0,31.0,2.0,1.0,5.0,2.0,1.0,4.0,,25.0,
409,No,42.0,Travel_Frequently,532.0,Research & Development,29.0,2,Life Sciences,1.0,Female,92.0,3.0,2.0,Research Scientist,3.0,Divorced,4556.0,12932.0,2.0,Y,No,11.0,3.0,2.0,80.0,1,19.0,,3.0,5.0,4.0,0.0,2.0,1193.6331321865505,,
410,No,30.0,Travel_Rarely,317.0,Research & Development,2.0,3,Life Sciences,3.0,Female,43.0,1.0,2.0,Manufacturing Director,4.0,Single,6091.0,24793.0,2.0,Y,No,20.0,4.0,3.0,80.0,0,11.0,2.0,3.0,5.0,4.0,0.0,2.0,739.6627522173674,10.0,
411,No,60.0,Travel_Rarely,422.0,Research & Development,7.0,3,Life Sciences,1.0,Female,41.0,3.0,5.0,Manager,1.0,Married,19566.0,3854.0,5.0,Y,No,11.0,3.0,4.0,80.0,0,33.0,5.0,1.0,29.0,8.0,11.0,10.0,,,
412,No,46.0,Travel_Rarely,1485.0,Research & Development,18.0,3,Medical,3.0,Female,87.0,3.0,2.0,Manufacturing Director,3.0,Divorced,4810.0,26314.0,2.0,Y,No,14.0,3.0,3.0,80.0,1,19.0,5.0,2.0,10.0,7.0,0.0,8.0,740.3807106508705,15.0,
413,No,42.0,Travel_Frequently,1368.0,Research & Development,28.0,4,Technical Degree,4.0,Female,88.0,2.0,2.0,Healthcare Representative,4.0,Married,4523.0,4386.0,0.0,Y,No,11.0,3.0,4.0,80.0,3,7.0,4.0,4.0,6.0,5.0,0.0,4.0,547.697380676515,,0.8493363733414443
414,Yes,24.0,Travel_Rarely,1448.0,Sales,1.0,1,Technical Degree,1.0,Female,62.0,3.0,1.0,Sales Representative,2.0,Single,3202.0,21972.0,1.0,Y,Yes,16.0,3.0,2.0,80.0,0,6.0,4.0,3.0,5.0,3.0,1.0,4.0,626.7791717064929,22.0,
415,Yes,34.0,Travel_Frequently,296.0,Sales,6.0,2,Marketing,4.0,Female,33.0,1.0,1.0,Sales Representative,3.0,Divorced,2351.0,12253.0,0.0,Y,No,16.0,3.0,4.0,80.0,1,3.0,3.0,2.0,2.0,2.0,1.0,0.0,1344.9492101095766,22.0,
416,No,38.0,Travel_Frequently,1490.0,Research & Development,2.0,2,Life Sciences,4.0,Male,42.0,3.0,1.0,Laboratory Technician,4.0,Married,1702.0,12106.0,1.0,Y,Yes,23.0,4.0,3.0,80.0,1,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1481.6939863686748,25.0,
417,No,40.0,Travel_Rarely,1398.0,Sales,2.0,4,Life Sciences,3.0,Female,79.0,3.0,5.0,Manager,3.0,Married,18041.0,13022.0,0.0,Y,No,14.0,3.0,4.0,80.0,0,21.0,2.0,3.0,20.0,15.0,1.0,12.0,541.6818074801879,,
418,No,26.0,Travel_Rarely,1349.0,Research & Development,23.0,3,Life Sciences,1.0,Female,90.0,3.0,1.0,Research Scientist,4.0,Divorced,2886.0,3032.0,1.0,Y,No,22.0,4.0,2.0,80.0,2,3.0,3.0,1.0,3.0,2.0,0.0,2.0,998.5059567846315,15.0,
419,No,30.0,Non-Travel,1400.0,Research & Development,3.0,3,Life Sciences,3.0,Male,53.0,3.0,1.0,Laboratory Technician,4.0,Married,2097.0,16734.0,4.0,Y,No,15.0,3.0,3.0,80.0,1,9.0,3.0,1.0,5.0,3.0,1.0,4.0,1573.9202833519707,,2.887389473341992
420,No,29.0,Travel_Rarely,986.0,Research & Development,3.0,4,Medical,2.0,Male,93.0,2.0,3.0,Research Director,3.0,Married,11935.0,21526.0,1.0,Y,No,18.0,3.0,3.0,80.0,0,10.0,2.0,3.0,10.0,2.0,0.0,7.0,1422.7122931870563,15.0,
421,Yes,29.0,Travel_Rarely,408.0,Research & Development,25.0,5,Technical Degree,3.0,Female,71.0,2.0,1.0,Research Scientist,2.0,Married,2546.0,18300.0,5.0,Y,No,16.0,3.0,2.0,80.0,0,6.0,,4.0,2.0,2.0,1.0,1.0,839.725042826537,,
422,Yes,19.0,Travel_Rarely,489.0,Human Resources,2.0,2,Technical Degree,1.0,Male,52.0,2.0,1.0,Human Resources,4.0,Single,2564.0,18437.0,1.0,Y,No,12.0,3.0,3.0,80.0,0,1.0,,4.0,1.0,0.0,0.0,0.0,1421.2695290101017,10.0,
423,No,30.0,Non-Travel,1398.0,Sales,22.0,4,Other,3.0,Female,69.0,3.0,3.0,Sales Executive,1.0,Married,8412.0,2890.0,0.0,Y,No,11.0,3.0,3.0,80.0,0,10.0,,3.0,9.0,8.0,7.0,8.0,1322.2065500318645,,
424,No,57.0,Travel_Rarely,210.0,Sales,29.0,3,Marketing,1.0,Male,56.0,2.0,4.0,Manager,4.0,Divorced,14118.0,22102.0,3.0,Y,No,12.0,3.0,3.0,80.0,1,32.0,3.0,2.0,1.0,0.0,0.0,0.0,,,
425,No,50.0,Travel_Rarely,1099.0,Research & Development,29.0,4,Life Sciences,2.0,Male,88.0,2.0,4.0,Manager,3.0,Married,17046.0,9314.0,0.0,Y,No,15.0,3.0,2.0,80.0,1,28.0,2.0,3.0,27.0,10.0,15.0,7.0,,30.0,
426,No,30.0,Non-Travel,1116.0,Research & Development,2.0,3,Medical,3.0,Female,49.0,3.0,1.0,Laboratory Technician,4.0,Single,2564.0,7181.0,0.0,Y,No,14.0,3.0,3.0,80.0,0,12.0,2.0,2.0,11.0,7.0,6.0,7.0,641.1644289584622,10.0,
427,No,60.0,Travel_Frequently,1499.0,Sales,28.0,3,Marketing,3.0,Female,80.0,2.0,3.0,Sales Executive,1.0,Married,10266.0,2845.0,4.0,Y,No,19.0,3.0,4.0,80.0,0,22.0,5.0,4.0,18.0,13.0,13.0,11.0,,10.0,
428,No,47.0,Travel_Rarely,983.0,Research & Development,2.0,2,Medical,1.0,Female,65.0,3.0,2.0,Manufacturing Director,4.0,Divorced,5070.0,7389.0,,Y,No,13.0,3.0,3.0,80.0,3,20.0,2.0,3.0,5.0,0.0,0.0,4.0,904.520443092739,10.0,1.094922712723152
429,No,46.0,Travel_Rarely,1009.0,Research & Development,2.0,3,Life Sciences,1.0,Male,51.0,3.0,4.0,Research Director,3.0,Married,17861.0,2288.0,6.0,Y,No,13.0,3.0,3.0,80.0,0,26.0,2.0,1.0,3.0,2.0,0.0,1.0,1171.0466516686279,15.0,1.2757332809206954
430,No,35.0,Travel_Rarely,144.0,Research & Development,22.0,3,Life Sciences,4.0,Male,46.0,1.0,1.0,Laboratory Technician,3.0,Single,4230.0,19225.0,0.0,Y,No,15.0,3.0,3.0,80.0,0,6.0,2.0,3.0,5.0,4.0,4.0,3.0,559.9473493801936,30.0,
431,No,54.0,Travel_Rarely,548.0,Research & Development,8.0,4,Life Sciences,3.0,Female,42.0,3.0,2.0,Laboratory Technician,3.0,Single,3780.0,23428.0,7.0,Y,No,11.0,3.0,3.0,80.0,0,19.0,3.0,3.0,1.0,0.0,0.0,0.0,,,
432,No,34.0,Travel_Rarely,1303.0,Research & Development,2.0,4,Life Sciences,4.0,Male,62.0,2.0,1.0,Research Scientist,3.0,Divorced,2768.0,8416.0,3.0,Y,No,12.0,3.0,3.0,80.0,1,14.0,3.0,3.0,7.0,3.0,5.0,7.0,1601.8564416958761,10.0,
433,No,46.0,Travel_Rarely,1125.0,Sales,10.0,3,Marketing,3.0,Female,94.0,2.0,3.0,Sales Executive,4.0,Married,9071.0,11563.0,2.0,Y,Yes,19.0,3.0,3.0,80.0,1,15.0,3.0,3.0,3.0,2.0,1.0,2.0,1405.3586737910687,15.0,
434,No,31.0,Travel_Rarely,1274.0,Research & Development,9.0,1,Life Sciences,3.0,Male,33.0,3.0,3.0,Manufacturing Director,2.0,Divorced,10648.0,14394.0,1.0,Y,No,25.0,4.0,4.0,80.0,1,13.0,6.0,4.0,13.0,8.0,0.0,8.0,1597.2882608182226,,1.3507399615920157
435,Yes,33.0,Travel_Rarely,1277.0,Research & Development,15.0,1,Medical,2.0,Male,56.0,3.0,3.0,Manager,3.0,Married,13610.0,24619.0,7.0,Y,Yes,12.0,3.0,4.0,80.0,0,15.0,2.0,4.0,7.0,6.0,7.0,7.0,933.4501748941524,25.0,
436,Yes,33.0,Travel_Rarely,587.0,Research & Development,10.0,1,Medical,1.0,Male,38.0,1.0,1.0,Laboratory Technician,4.0,Divorced,3408.0,6705.0,7.0,Y,No,13.0,3.0,1.0,80.0,3,8.0,2.0,3.0,4.0,3.0,1.0,3.0,704.0446323207689,15.0,
437,No,30.0,Travel_Rarely,413.0,Sales,7.0,1,Marketing,4.0,Male,57.0,3.0,1.0,Sales Representative,2.0,Single,2983.0,18398.0,0.0,Y,No,14.0,3.0,1.0,80.0,0,4.0,,3.0,3.0,2.0,1.0,2.0,1542.0939057761211,25.0,1.3310071362167895
438,No,35.0,Travel_Rarely,1276.0,Research & Development,16.0,3,Life Sciences,4.0,Male,72.0,3.0,3.0,Healthcare Representative,3.0,Married,7632.0,14295.0,4.0,Y,Yes,12.0,3.0,3.0,80.0,0,10.0,2.0,3.0,8.0,7.0,0.0,0.0,763.0127052676996,,
439,Yes,31.0,Travel_Frequently,534.0,Research & Development,20.0,3,Life Sciences,1.0,Male,66.0,3.0,3.0,Healthcare Representative,3.0,Married,9824.0,22908.0,3.0,Y,No,12.0,3.0,1.0,80.0,0,12.0,,3.0,1.0,0.0,0.0,0.0,958.1719041121721,10.0,1.1295338530903334
440,Yes,34.0,Travel_Frequently,988.0,Human Resources,23.0,3,Human Resources,2.0,Female,43.0,3.0,3.0,Human Resources,1.0,Divorced,9950.0,11533.0,9.0,Y,Yes,15.0,3.0,3.0,80.0,3,11.0,2.0,3.0,3.0,2.0,0.0,2.0,1055.1954882856521,15.0,1.4018723012889707
441,No,42.0,Travel_Frequently,1474.0,Research & Development,5.0,2,Other,2.0,Male,97.0,3.0,1.0,Laboratory Technician,3.0,Married,2093.0,9260.0,4.0,Y,No,17.0,3.0,4.0,80.0,1,8.0,,3.0,2.0,2.0,2.0,0.0,1393.6059456640126,10.0,0.983701367488117
442,No,36.0,Non-Travel,635.0,Sales,10.0,4,Medical,2.0,Male,32.0,3.0,3.0,Sales Executive,4.0,Single,9980.0,15318.0,1.0,Y,No,14.0,3.0,4.0,80.0,0,10.0,3.0,2.0,10.0,3.0,9.0,7.0,1057.7257781503122,,0.6604399951357549
443,Yes,22.0,Travel_Frequently,1368.0,Research & Development,4.0,1,Technical Degree,3.0,Male,99.0,2.0,1.0,Laboratory Technician,3.0,Single,3894.0,9129.0,5.0,Y,No,16.0,3.0,3.0,80.0,0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,488.57643823042474,25.0,
444,No,48.0,Travel_Rarely,163.0,Sales,2.0,5,Marketing,2.0,Female,37.0,3.0,2.0,Sales Executive,4.0,Married,4051.0,19658.0,2.0,Y,No,14.0,3.0,1.0,80.0,1,14.0,2.0,3.0,9.0,7.0,6.0,7.0,989.2690163537256,,
445,No,55.0,Travel_Rarely,1117.0,Sales,18.0,5,Life Sciences,1.0,Female,83.0,3.0,4.0,Manager,2.0,Single,16835.0,9873.0,3.0,Y,No,23.0,4.0,4.0,80.0,0,37.0,2.0,3.0,10.0,9.0,,7.0,,10.0,
